"provider","dataproviderkey"
"James R. Slater Museum of Natural History",95
"JEOLLANAMDO MARITIME & FISHERIES SCIENCE MUSEUM",96
"Jyvaskyla University Museum - The Section of Natural Sciences",97
"Karl Franzens University of Graz, Insitute for Botany - Herbarium GZU",98
"KBIF Data Repository",100
"KBRC (Korean Biological Resource Center) - KBIF Node",99
"Kokkola Nature Collection Kieppi",361
"Korea Institute of Science and Technology Information",33
"Korea Institutie of Water and Enviroment",288
"Korea National Arboretum (Korea Forest Service)",101
"Korean Aquatic Plant Resources and Information Bank",248
"Korean Bioinformation Center",210
"Kunsan Passage Bird Research Institute",289
"Kuopio Natural History Museum",392
"Kyung Hee University Natural History Museum",102
"Laboratoire de Paléobotanique et Paléoécologie",103
"Leibniz Institute of Plant Genetics and Crop Plant Research (IPK)",222
"Los Angeles County Museum of Natural History",104
"Louisiana State University Herbarium",281
"Louisiana State University Museum of Natural Science",105
"Lund Museum of Zoology",398
"Lycée Félix Esclangon. Comité du Patrimoine Manosquin. Herbier G. Fenoul",384
"MACOI - Portuguese Seaweeds",316
"Mammal Research Institute, Polish Academy of Sciences",106
"Marine Biology Laboratory",91
"Marine Biology Section Ugent",107
"Marine Science Institute, UCSB",108
"Michigan State University Herbarium",109
"Michigan State University Museum",110
"Micoteca da Universidade do Minho",259
"Milwaukee Public Museum",311
"Missouri Botanical Garden",111
"MNHN - Museum national d'Histoire naturelle",377
"Mokpo Museum of Natural History",112
"Monty L. Bean Museum, Brigham Young University",113
"Museo Argentino de Ciencias Naturales",114
"Museo de Zoología de la Facultad de Ciencias, UNAM",115
"Museo Nacional de Costa Rica",116
"Museum and Institute of Zoology, Polish Academy of Sciences",117
"Museum d'Histoire Naturelle of Aix-en-Provence, Herbarium",382
"Museum für Naturkunde Berlin",118
"Museum national d'histoire naturelle et Reseau des Herbiers de France",119
"Museum of Comparative Zoology, Harvard University",120
"Museum of Natural and Cultural History - University of Oregon",366
"Museum of Southwestern Biology, Division of Amphibians and Reptiles",122
"Museum of Texas Tech University (TTU)",123
"Museum of Vertebrate Zoology",124
"Musée cantonal de zoologie, Lausanne",396
"Musée national d'histoire naturelle Luxembourg",293
"Musée Zoologique de la Ville de Strasbourg",271
"Muséum d'Histoire Naturelle d'Autun, Herbarium",391
"Muséum d'Histoire Naturelle de Bourges",394
"Muséum d'Histoire Naturelle de Nice",401
"National Biodiversity Data Centre",322
"National Chemical Laboratory",125
"National Herbarium of New South Wales",126
"National Institute of Genetics, ROIS",127
"National Inventory of Swiss bryophytes",306
"National Medicines Institute, Poland",128
"National Museum of Natural History",220
"National Museum of Nature and Science, Japan",131
"National Science Museum of Korea",132
"Natural History Museum",133
"Natural History Museum, University of Oslo",134
"Natural History Museum, University of Tartu",380
"Natural History Museum, Vienna - Herbarium W",135
"NatureServe",136
"Naturkundemuseum im Ottoneum Kassel",402
"Nearctic Spider Database",29
"Netherlands Centre for Biodiversity Naturalis, section National Herbarium of the Netherlands",331
"New Brunswick Museum",137
"New Mexico Biodiversity Collections Consortium",83
"New Mexico Museum of Natural History and Science",312
"New York State Museum (NYSM)",376
"Nicolaus Copernicus University of Toruń",138
"NLBIF",139
"Nordic Genetic Resource Center (NORDGEN)",168
"North Carolina State Museum of Natural Sciences",291
"Norwegian Institute for Nature Research",273
"NSW Department of Environment, Climate Change, and Water representing the State of New South Wales",346
"Observatoire Océanologique de Banyuls sur mer",307
"Ocean Biogeographic Information System",82
"Ohio State University Acarology Collection",297
"Ohio State University Fish Division",397
"Ohio State University Insect Collection",140
"Oklahoma Vascular Plants Database Provider",253
"Oregon State University",141
"OZCAM (Online Zoological Collections of Australian Museums) Provider",143
"PAKISTAN MUSEUM OF NATURAL HISTORY Provider",144
"PANGAEA - Publishing Network for Geoscientific and Environmental Data",145
"Parc Botanique et Zoologique de Tsimbazaza (P.B.Z.T.)",352
"Plazi.org taxonomic treatments database",241
"Prirodoslovni muzej Slovenije",146
"Queen Mary University of London",298
"Raffles Museum of Biodiversity Research",235
"Redpath Museum, McGill University",313
"Research Institute for Nature and Forest",364
"Royal Belgian Institute of Natural Sciences",373
"Royal Botanic Garden Edinburgh",303
"Royal Botanic Gardens, Kew",148
"Royal Museum for Central Africa, Belgium",147
"Royal Ontario Museum",149
"Sam Noble Oklahoma Museum of Natural History",150
"San Diego Natural History Museum",151
"Santa Barbara Museum of Natural History",152
"Scientific Committee on Antarctic Research - Marine Biodiversity Information Network (SCAR-MarBIN)",254
"Scientific Research Centre of the Slovenian Academy of Sciences and Arts, Institute of Biology",257
"Senckenberg",155
"Senckenberg - CeDAMar Provider",277
"Seodaemun Museum of Natural History",156
"Service du Patrimoine naturel, Muséum national d'Histoire naturelle, Paris",255
"Siamazonia Provider",157
"Sir Alister Hardy Foundation for Ocean Science (SAHFOS)",360
"Slovenian Forestry Institute",258
"Société Botanique de Franche-Comté/Conservatoire Botanique National de Franche-Comté",272
"Société des Sciences Naturelles et Mathématiques de Cherbourg",385
"South African National Biodiversity Institute",130
"South Australia, Department of Environment and Natural Resources",344
"Species File Group",374
"Staatliche Naturwissenschaftliche Sammlungen Bayerns",158
"Staatliches Museum für Naturkunde Stuttgart",236
"Steiermärkisches Landesmuseum Joanneum - Herbarium GJO",159
"Sternberg Museum of Natural History",160
"SysTax",161
"Taiwan Biodiversity Information Facility (TaiBIF)",162
"Taiwan Forestry Research Institute",325
"TanBIF",267
"Tela-Botanica",330
"TELDAP",283
"Texas A&M University Insect Collection",284
"Texas Cooperative Wildlife Collection",314
"Texas Natural Science Center",163
"The Danish Biodiversity Information Facility",164
"The Global Biodiversity Information Facility",1
"The Hong Kong University Herbarium",165
"The International Plant Names Index",3
"The Museum of Biology, Sun Yatsen Univ",166
"The New York Botanical Garden",167
"The Norwegian Biodiversity Information Centre (NBIC)",334
"The Species 2000 and ITIS Catalogue of Life",2
"Tiroler Landesmuseum Ferdinandeum",170
"Tulane University Museum of Natural History",286
